## synthetic Data
Pt_id	V(km/s)		X(km)		Y(km)		Z(km)
1	5.0874		305.310		5724.000	0.70354
2	5.0533		305.310		5724.000	0.68776
3	5.1373		305.310		5724.000	0.67856
4	5.2474		305.310		5724.000	0.67509
5	5.0266		305.310		5724.000	0.65997
6	5.0242		305.310		5724.000	0.65312
7	5.1610		305.310		5724.000	0.63805
8	5.1612		305.310		5724.000	0.62651
9	5.0599		305.310		5724.000	0.62099
10	5.1055		305.310		5724.000	0.61458
11	5.1890		305.310		5724.000	0.60260
12	5.0972		305.310		5724.000	0.58473
13	5.0983		305.310		5724.000	0.57902
14	5.1477		305.310		5724.000	0.56651
15	5.0438		305.310		5724.000	0.55784
16	5.0358		305.310		5724.000	0.54864
17	5.2290		305.310		5724.000	0.53715
18	5.1633		305.310		5724.000	0.53104
19	5.1253		305.310		5724.000	0.51296
20	5.0918		305.310		5724.000	0.50560
