## synthetic Data
Pt	V(km/s)		X(km)		Y(km)		Z(km)		Wave
1	5.0921		305.310		5724.000	0.65636		P
2	5.1081		305.310		5724.000	0.64260		P
3	5.1095		305.310		5724.000	0.63271		P
4	5.0780		305.310		5724.000	0.61248		P
5	5.0431		305.310		5724.000	0.60352		P
6	5.1181		305.310		5724.000	0.59207		P
7	5.0781		305.310		5724.000	0.57657		P
8	5.1151		305.310		5724.000	0.56505		P
9	5.1227		305.310		5724.000	0.54657		P
10	5.1019		305.310		5724.000	0.53698		P
11	5.0139		305.310		5724.000	0.52694		P
12	5.0789		305.310		5724.000	0.50156		P
1	2.7091		305.310		5724.000	0.65636		S
2	2.8081		305.310		5724.000	0.64260		S
3	2.7125		305.310		5724.000	0.63271		S
4	2.6780		305.310		5724.000	0.61248		S
5	2.7131		305.310		5724.000	0.60352		S
6	2.7381		305.310		5724.000	0.59207		S
7	2.7781		305.310		5724.000	0.57657		S
8	2.8051		305.310		5724.000	0.56505		S
9	2.6927		305.310		5724.000	0.54657		S
10	2.6859		305.310		5724.000	0.53698		S
11	2.8019		305.310		5724.000	0.52694		S
12	2.7289		305.310		5724.000	0.50156		S
