# Synthetic data
Ev_idn	    t0		      X		      Y		      Z
1	    7.87	   305.30000	  5723.90000	     0.60000
2	    9.24	   305.25000	  5723.90000	     0.61500
3	   11.38	   305.30000	  5723.80000	     0.62000
4	   11.68	   305.20000	  5723.90000	     0.60000
5	   13.85	   305.25000	  5723.90000	     0.64000
6	   15.47	   305.20000	  5723.80000	     0.62000
7	   16.59	   305.30000	  5723.70000	     0.60000
8	   17.46	   305.30000	  5723.95000	     0.62000
9	   18.16	   305.35000	  5723.90000	     0.60000
10	   26.53	   305.30000	  5723.85000	     0.61000
